Conventions,G,BADC-CSV,1
title,G,uk-daily-rain-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-202107
history,G,Created 2021-07-15
last_revised_date,G,2021-07-15
observation_station,G,rackwick
historic_county_name,G,orkney
midas_station_id,G,00019
location,G,58.873,-3.387
height,G,18,m
date_valid,G,2005-01-01 00:00:00,2005-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_date,t
long_name,ob_date,Date of observation,s
type,ob_date,char
comments,ob_date,Date and time (YYYY-MM-DD HH:MM:SS) of the observation
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,ob_day_cnt,Observation day count,day
type,ob_day_cnt,int
long_name,ob_end_ctime,clock time at end of observation as HHMM,s
type,ob_end_ctime,char
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,prcp_amt,Precipitation amount,mm
type,prcp_amt,float
long_name,ob_day_cnt_q,QC code: observation day count,1
type,ob_day_cnt_q,int
long_name,prcp_amt_q,QC code: precipitation amount,1
type,prcp_amt_q,int
long_name,prcp_amt_j,Descriptor: precipitation amount,1
type,prcp_amt_j,int
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS ,minutes
type,midas_stmp_etime,int
data
ob_date,id,id_type,version_num,met_domain_name,ob_end_ctime,ob_day_cnt,src_id,rec_st_ind,prcp_amt,ob_day_cnt_q,prcp_amt_q,prcp_amt_j,meto_stmp_time,midas_stmp_etime
2005-02-06 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5.2,NA,6,NA,2005-02-06 09:00:00,53
2005-02-07 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.1,NA,6,NA,2005-02-07 08:58:00,54
2005-02-08 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-02-08 08:59:00,57
2005-02-09 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.1,NA,6,NA,2005-02-09 09:03:00,49
2005-02-10 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,18.9,NA,6,NA,2005-02-10 18:03:00,425
2005-02-11 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.8,NA,6,NA,2005-02-11 09:00:00,53
2005-02-12 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,6.8,NA,6,NA,2005-02-12 09:25:00,27
2005-02-13 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,14.1,NA,6,NA,2005-02-13 08:58:00,54
2005-02-14 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.7,NA,6,NA,2005-02-14 08:59:00,54
2005-02-15 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.8,NA,6,NA,2005-02-15 09:00:00,54
2005-02-16 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-02-16 09:03:00,52
2005-02-17 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.9,NA,6,NA,2005-02-17 08:59:00,55
2005-02-18 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.2,NA,6,NA,2005-02-18 09:06:00,49
2005-02-19 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4.6,NA,6,NA,2005-02-19 09:00:00,53
2005-02-20 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.9,NA,6,NA,2005-02-20 08:57:00,58
2005-02-21 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4.5,NA,6,NA,2005-02-21 09:11:00,45
2005-02-22 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.4,NA,6,NA,2005-02-22 09:01:00,54
2005-02-23 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.7,NA,6,NA,2005-02-23 09:05:00,49
2005-02-24 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1,NA,6,NA,2005-02-24 08:56:00,59
2005-02-25 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-02-25 09:01:00,53
2005-02-26 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1,NA,6,NA,2005-02-26 08:56:00,56
2005-02-27 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1,NA,6,NA,2005-02-27 08:56:00,59
2005-02-28 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4.8,NA,6,NA,2005-02-28 08:59:00,58
2005-03-01 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,9.6,NA,6,NA,2005-03-01 17:59:00,429
2005-03-02 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4,NA,6,NA,2005-03-02 08:58:00,59
2005-03-03 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.2,NA,6,NA,2005-03-03 08:59:00,120
2005-03-04 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.5,NA,6,NA,2005-03-04 09:02:00,56
2005-03-05 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.9,NA,6,NA,2005-03-05 09:02:00,54
2005-03-06 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.2,NA,6,NA,2005-03-06 08:58:00,55
2005-03-07 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.2,NA,6,NA,2005-03-07 09:01:00,182
2005-03-08 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.9,NA,6,NA,2005-03-08 09:00:00,54
2005-03-09 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.6,0,6,NA,2005-04-21 14:33:00,0
2005-03-10 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,6.1,NA,6,NA,2005-03-10 08:55:00,61
2005-03-11 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4.5,NA,6,NA,2005-03-11 09:01:00,54
2005-03-12 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,9,NA,6,NA,2005-03-12 09:00:00,53
2005-03-13 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.9,NA,6,NA,2005-03-13 08:58:00,54
2005-03-14 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,16.3,NA,6,NA,2005-03-14 09:03:00,51
2005-03-15 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.1,NA,6,NA,2005-03-15 08:58:00,55
2005-03-16 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,24.3,NA,6,NA,2005-03-16 08:58:00,58
2005-03-17 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.2,NA,6,NA,2005-03-17 09:03:00,50
2005-03-18 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,14,NA,6,NA,2005-03-18 09:05:00,49
2005-03-19 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,9.2,NA,6,NA,2005-03-19 08:59:00,54
2005-03-20 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.2,NA,6,NA,2005-03-20 08:59:00,54
2005-03-21 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-03-21 08:55:00,62
2005-03-22 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.9,NA,6,NA,2005-03-22 09:00:00,57
2005-03-23 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.5,NA,6,NA,2005-03-23 08:58:00,56
2005-03-24 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-03-24 09:01:00,52
2005-03-25 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-03-25 09:01:00,52
2005-03-26 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-03-26 08:57:00,55
2005-03-27 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-03-27 09:00:00,52
2005-03-28 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-03-28 09:02:00,51
2005-03-29 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-03-29 08:59:00,54
2005-03-30 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-03-30 09:04:00,50
2005-03-31 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-03-31 09:00:00,58
2005-04-01 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.8,NA,6,NA,2005-04-01 09:02:00,53
2005-04-02 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.1,NA,6,NA,2005-04-02 09:07:00,46
2005-04-03 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-04-03 09:06:00,46
2005-04-04 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.7,NA,6,NA,2005-04-04 09:03:00,52
2005-04-05 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3,0,6,NA,2005-05-18 13:39:00,0
2005-04-06 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5,NA,6,NA,2005-04-06 09:11:00,43
2005-04-07 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,11.8,NA,6,NA,2005-04-07 09:06:00,47
2005-04-08 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,19.8,NA,6,NA,2005-04-08 09:07:00,47
2005-04-09 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5.4,NA,6,NA,2005-04-09 09:00:00,52
2005-04-10 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5,NA,6,NA,2005-04-10 08:58:00,55
2005-04-11 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.4,NA,6,NA,2005-04-11 09:05:00,48
2005-04-12 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.5,NA,6,NA,2005-04-12 09:03:00,50
2005-04-13 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.3,NA,6,NA,2005-04-13 09:02:00,51
2005-04-14 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,11.6,NA,6,NA,2005-04-14 09:02:00,53
2005-04-15 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.4,NA,6,NA,2005-04-15 09:01:00,54
2005-04-16 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.2,NA,6,NA,2005-04-16 08:59:00,53
2005-04-17 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.8,NA,6,NA,2005-04-17 09:07:00,47
2005-04-18 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-04-18 09:03:00,50
2005-04-19 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.2,NA,6,NA,2005-04-19 09:06:00,52
2005-04-20 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-04-20 09:00:00,58
2005-04-21 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-04-21 09:02:00,99
2005-04-22 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-04-22 09:04:00,53
2005-04-23 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-04-23 09:02:00,50
2005-04-24 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-04-24 09:02:00,50
2005-04-25 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-04-25 09:04:00,52
2005-04-26 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,0,6,NA,2005-05-18 13:39:00,0
2005-04-27 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.1,NA,6,NA,2005-04-27 09:04:00,49
2005-04-28 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.2,NA,6,NA,2005-04-28 09:01:00,54
2005-04-29 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,7.5,NA,6,NA,2005-04-29 09:03:00,50
2005-04-30 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.4,NA,6,NA,2005-04-30 09:05:00,48
2005-05-01 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-05-01 10:08:00,899
2005-05-02 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,9.1,NA,6,NA,2005-05-02 09:02:00,51
2005-05-03 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.1,NA,6,NA,2005-05-03 08:48:00,65
2005-05-04 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.3,NA,6,NA,2005-05-04 09:10:00,44
2005-05-05 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,6.3,0,6,NA,2005-06-15 10:40:00,0
2005-05-06 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3,0,6,NA,2005-06-15 10:40:00,0
2005-05-07 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.5,NA,6,NA,2005-05-07 09:02:00,50
2005-05-08 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.2,NA,6,NA,2005-05-08 09:01:00,51
2005-05-09 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4.9,NA,6,NA,2005-05-09 09:03:00,51
2005-05-10 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.1,NA,6,NA,2005-05-10 09:04:00,49
2005-05-11 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.4,NA,6,NA,2005-05-11 09:07:00,47
2005-05-12 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.1,NA,6,NA,2005-05-12 09:13:00,41
2005-05-13 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-05-13 09:01:00,52
2005-05-14 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-05-14 08:57:00,56
2005-05-15 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.5,NA,6,NA,2005-05-15 09:01:00,52
2005-05-16 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.1,NA,6,NA,2005-05-16 09:02:00,51
2005-05-17 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5,NA,6,NA,2005-05-17 09:01:00,173
2005-05-18 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4.1,NA,6,NA,2005-05-18 09:04:00,48
2005-05-19 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.2,NA,6,NA,2005-05-19 09:01:00,51
2005-05-20 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-05-20 09:02:00,51
2005-05-21 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,9.3,NA,6,NA,2005-05-21 09:01:00,55
2005-05-22 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.1,NA,6,NA,2005-05-22 08:59:00,53
2005-05-23 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-05-23 08:58:00,55
2005-05-24 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.4,NA,6,NA,2005-05-24 09:00:00,56
2005-05-25 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.1,NA,6,NA,2005-05-25 09:03:00,49
2005-05-26 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,11.8,NA,6,NA,2005-05-26 09:03:00,65
2005-05-27 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.7,NA,6,NA,2005-05-27 08:59:00,58
2005-05-28 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2,NA,6,NA,2005-05-28 09:01:00,51
2005-05-29 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,14,NA,6,NA,2005-05-29 09:00:00,53
2005-05-30 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.1,NA,6,NA,2005-05-30 09:02:00,51
2005-05-31 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.3,NA,6,NA,2005-05-31 08:52:00,61
2005-06-01 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-06-01 09:13:00,40
2005-06-02 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,24.6,NA,6,NA,2005-06-02 09:01:00,51
2005-06-03 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,12.6,NA,6,NA,2005-06-03 09:02:00,51
2005-06-04 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.2,NA,6,NA,2005-06-04 09:00:00,53
2005-06-05 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-06-05 08:58:00,54
2005-06-06 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.2,NA,6,NA,2005-06-06 08:58:00,56
2005-06-07 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-06-07 17:57:00,430
2005-06-08 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,0,10006,NA,2005-07-22 13:48:00,0
2005-06-09 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.9,NA,6,NA,2005-06-09 08:59:00,55
2005-06-10 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.1,NA,6,NA,2005-06-10 09:00:00,53
2005-06-11 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-06-11 09:09:00,44
2005-06-12 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4.2,NA,6,NA,2005-06-12 15:17:00,588
2005-06-13 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,18,NA,6,NA,2005-06-13 09:00:00,54
2005-06-14 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.1,NA,6,NA,2005-06-14 09:00:00,55
2005-06-15 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.2,NA,6,NA,2005-06-15 09:11:00,48
2005-06-16 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-06-16 08:58:00,59
2005-06-17 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-06-17 09:05:00,51
2005-06-18 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.2,NA,6,NA,2005-06-18 09:37:00,15
2005-06-19 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.8,NA,6,NA,2005-06-19 18:02:00,422
2005-06-20 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.1,NA,6,NA,2005-06-20 08:59:00,54
2005-06-21 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.8,NA,6,NA,2005-06-21 09:02:00,52
2005-06-22 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.6,NA,6,NA,2005-06-22 09:01:00,55
2005-06-23 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.7,NA,6,NA,2005-06-23 08:59:00,53
2005-06-24 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.2,NA,6,NA,2005-06-24 08:59:00,55
2005-06-25 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-06-25 09:01:00,52
2005-06-26 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,6,NA,2005-06-26 09:02:00,50
2005-06-27 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.6,NA,6,NA,2005-06-27 09:00:00,52
2005-06-28 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.6,NA,6,NA,2005-06-28 08:51:00,69
2005-06-29 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.1,NA,6,NA,2005-06-29 09:02:00,57
2005-06-30 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-06-30 09:03:00,51
2005-07-01 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4,NA,6,NA,2005-07-01 18:02:00,423
2005-07-02 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2,NA,6,NA,2005-07-02 09:09:00,44
2005-07-03 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2,NA,6,NA,2005-07-03 08:59:00,53
2005-07-04 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,NA,10006,NA,2005-07-04 08:59:00,53
